Node,Met_Criteria,Description,Patient_Story
MED_COG,False,"Assess whether the patient shows evidence of decline in one or more cognitive domains, including complex attention, executive function, learning and memory, language, perceptual-motor abilities, or social cognition. This decline should be noticeable and impact the patient's ability to function in these specific areas.","I’ve noticed that my memory has been pretty sharp lately, and I can recall details from conversations and events without any trouble. Just the other day, I was talking to a friend about a movie we watched months ago, and I was able to describe the plot and characters in detail, much to their surprise. I’ve been able to manage my daily tasks at work and home without feeling confused or overwhelmed, which makes me feel pretty confident about my cognitive abilities."
MNEUD,False,"major or mild neurocognitive disorder due to another medical condition, with behavioral disturbance",
MEDDD,False,Depressive disorder due to another medical condition,
MANIC_DUR_HALL,False,The patient meets the criteria if they acknowledge having a history of delusions or hallucinations.,"I’ve never experienced anything like delusions or hallucinations. Last weekend, I was sitting in my living room watching a movie with my friends, and I felt completely present, no strange thoughts or voices at all. I can’t imagine what it would be like to hear things that aren’t there; it just hasn’t happened to me."
MANIC_DUR_HALL_PSYC,False,The criteria are met if the patient's psychotic symptoms occur exclusively during manic or major depressive episodes.,"I don't think my symptoms fit that description. While I've had moments of feeling incredibly high and euphoric, such as during that week when I threw a barbecue and felt super energetic, I haven't experienced any psychotic symptoms like hearing voices or seeing things during those times. The voices I heard were isolated incidents when I was alone, separate from any manic or depressive episodes, and that confusion left me shaken for days."
BPIPSYC,False,Bipolar I disorder with psychotic features,
SCHIZ,False,Schizophrenia spectrum or other psychotic disorder,
BPI,False,Bipolar I disorder,
SCHIZ2,False,Schizophrenia spectrum or other psychotic disorder,
BPII,False,Bipolar II disorder,
MANIC_DUR_HYPO_DUR,False,The criteria are met if the patient explicitly reported at least 2 years of hypomanic symptoms along with periods of depressed mood. Duration should be explicitly asked.,"I can't say I’ve experienced hypomanic symptoms lasting for two years. There have been moments of heightened energy, like last month when I organized a barbecue and felt really alive for about a week. However, those episodes were sporadic rather than consistent, and I never felt that prolonged sense of euphoria or followed it up with a significant period of depression that would last beyond a few days."
CYC,False,Cyclothymic,
OTHBP,False,Other specified bipolar and related disorders or unspecified bipolar and related disorders,
DEPEPS,False,"The criteria are met if the patient has experienced one or more major depressive episodes without any history of manic or hypomanic episodes. To determine if a major depressive episode has occurred, the following aspects must be examined:
1. Interest or pleasure in doing things
2. Sleeping conditions
3. Energy level
4. Appetite
5. Feelings of self-worth
6. Concentration when doing things
7. Changes in movement or speech
8. Suicidal ideation
9. Duration of at least 2 weeks
The decision should be based on an overall assessment of the severity of these aspects, considering the patient's responses across all areas (not all aspects need to be abnormal). The duration of symptoms should be explicitly asked and confirmed as lasting at least 2 weeks before making a final decision. Be really caucious when making the decision!","I haven't experienced a major depressive episode as defined by the criteria. While I've had some tough moments, like feeling down when my colleagues didn't seem to notice my contribution at work, it’s usually brief. Most of the time, I can still find joy in my hobbies, like painting or going for walks, and I manage to keep a stable sleeping pattern, so it's not been a persistent issue for me."
DEPEPS_HALL,False,The criteria are met if the patient acknowledges having a history of delusions or hallucinations.,"I’ve never experienced anything like delusions or hallucinations. Last weekend, I was sitting in my living room watching a movie with my friends, and I felt completely present, no strange thoughts or voices at all. I can’t imagine what it would be like to hear things that aren’t there; it just hasn’t happened to me."
DEPEPS_HALL_PSYC,False,The criteria are met if the patient's psychotic symptoms occur exclusively during manic or major depressive episodes.,"I wouldn't say my psychotic symptoms are tied to manic or major depressive episodes. Just a couple of weeks ago, I was feeling somewhat okay, but I suddenly started hearing whispers calling my name late at night while I was reading. It was unsettling, and I felt terrified, but I wasn't experiencing any high or low moods at that moment; it just happened out of the blue and lingered in my mind for days."
DEPEPS_HALL_PSYC_DUR,False,The criteria are met if the patient explicitly reported a duration of the depressive episode lasting 2 years or longer. The duration should be explicitly asked,"I can't say I've been in a consistent depressive episode for two years or longer. In fact, I remember feeling a bit down after a breakup last summer, but it only lasted a few months, and since then, I've had periods where I've felt relatively good. Most days, I find enjoyment in my activities, like going for runs or painting, and I don’t feel like I’m stuck in a prolonged low."
MDDPDDPSYC,False,"Major depressive disorder with psychotic features, plus persistent depressive disorder",
MDDPSYC,False,Major depressive disorder with psychotic features,
SCHIZ3,False,Schizophrenia spectrum or other psychotic disorder,
DEPEPS_HALL_DUR,False,The criteria are met if the patient explicitly reported a duration of the depressive episode lasting 2 years or longer. The duration should be explicitly asked,"I wouldn't say I've been in a depressive episode for two years or longer. I can recall feeling really down for a few months after my breakup last summer, but I eventually started finding joy in activities again, like painting and going for runs. Right now, I have ups and downs, but it’s not something that has lasted for years."
MDDPDD,False,Major depressive disorder plus persistent depressive disorder,
MDD,False,Major depressive disorder,
DUR,False,"The criteria are met if the patient explicitly reported experiencing a depressed mood more days than not for at least 2 years, accompanied by associated symptoms. The duration should be explicitly asked","I can't say that I've experienced a depressed mood more days than not for a full two years. There was a tough time last summer after my breakup, where I felt down for several months, but that eventually lifted. Nowadays, I still find joy in things like going for runs or painting, so it doesn’t feel like a constant struggle."
PDD,False,persistent depressive disorder,
DEPFW,False,"The criteria are met if the patient experiences a depressed mood that is regularly present in the final week before the onset of menses and becomes absent in the week after menses. This mood disturbance must be associated with clinically significant distress or interference with work, school, usual social activities, or relationships with others.","In the past few months, I've noticed my mood fluctuating a bit, but I wouldn't say it's tied to my menstrual cycle. For instance, last month, during the week before my period, I felt relatively stable, and even enjoyed going out with friends for a picnic. After my period ended, I was still in good spirits and managed to focus on my work without any noticeable mood changes disrupting my daily life. It's all felt quite normal, so I'm not sure there's anything concerning going on."
PDYSD,False,Premenstrual dysphoric disorder,
DEPCOM,False,"The criteria are met if the patient's depressed or dysphoric mood is an associated feature of another mental disorder (e.g., ""demoralization"" related to having Obsessive-Compulsive Disorder).","I’ve never been diagnosed with a mental disorder, so I wouldn't say my depressed mood is linked to anything like OCD or any other condition. There was a time a couple of months ago when I felt a bit low after a stressful week at work, but it didn't really connect to anything deeper than just being overwhelmed. I got through it by spending time with friends and focusing on my hobbies, and it cleared up after a few days."
DEPCOM_DIST,False,"The criteria are met if the mood disturbance is clinically significant, meaning it causes substantial distress or impairment in the patient�s daily functioning.","While I've been feeling down lately, I wouldn't say it's been severe enough to require clinical attention. For instance, I had a rough day last week when my boss criticized my work, and I went home feeling disheartened. However, I still managed to go out with friends later that week and laughed along with them, so it doesn't seem to be a constant issue that disrupts my daily life."
OTHDD,False,Other specified depressive disorder; unspecified depressive disorder,
NOTDD,False,No mood disorder diagnosis needed,
OTH,False,"The criteria are met if the patient exhibits clinically significant depressive symptoms not covered by other criteria, which represent a psychological or biological dysfunction in the individual. These symptoms must be severe enough to impact the patient's functioning or well-being.","I wouldn’t say my depressive symptoms are severe enough to impact my daily functioning significantly. Just last week, I felt a bit off when I got some criticism at work, but I still managed to go out with my friends for dinner and had a good time, laughing and enjoying myself. It feels like I have ups and downs, but they don’t prevent me from engaging in activities I enjoy or maintaining my responsibilities."
OTH_MALA,False,"The criteria are met if the patient exhibits a maladaptive response to a psychosocial stressor, meaning their response is disproportionate or ineffective, leading to significant distress or impairment in functioning.","I don't think I've experienced a maladaptive response to stressors in my life. For example, when I got some critical feedback from my boss last week, I felt disappointed, but I took it as a chance to improve my work. I spent some time reflecting on it and even scheduled a meeting to discuss it further, which helped me feel more in control rather than overwhelmed."
ADJD,False,Adjustment disorder with depressed mood,
OTHDD2,False,Other specified depressive disorder; unspecified depressive disorder,
NORMALBLUE,False,"""Normal"" everyday blues",
