Node,Met_Criteria,Description,Patient_Story
DEPEPS,False,"The criteria are met if the patient has experienced one or more major depressive episodes without any history of manic or hypomanic episodes. To determine if a major depressive episode has occurred, the following aspects must be examined:
1. Interest or pleasure in doing things
2. Sleeping conditions
3. Energy level
4. Appetite
5. Feelings of self-worth
6. Concentration when doing things
7. Changes in movement or speech
8. Suicidal ideation
9. Duration of at least 2 weeks
The decision should be based on an overall assessment of the severity of these aspects, considering the patient's responses across all areas (not all aspects need to be abnormal). The duration of symptoms should be explicitly asked and confirmed as lasting at least 2 weeks before making a final decision. Be really caucious when making the decision!","For the past couple of weeks, I’ve found it incredibly difficult to find joy in activities I used to love, like playing guitar or going for walks. My sleep has been erratic; some nights I barely manage a couple of hours, while other nights I sleep too much, leaving me fatigued. Overall, I would say my energy is quite low, and although I don't feel suicidal, I often dwell on how bleak things seem, questioning if I’ll ever feel happy again. However, I don't believe these symptoms have persisted for a full two weeks yet, so I’m unsure if this qualifies as a major depressive episode."
DEPEPS_HALL,False,The criteria are met if the patient acknowledges having a history of delusions or hallucinations.,"I’ve never had any experiences with delusions or hallucinations. For example, while I often feel overwhelmed by my emotions and might briefly misinterpret sounds, like thinking I heard someone calling my name when I’m alone, I quickly realize that it’s just my mind playing tricks on me. I'm fully aware of my surroundings and understand that these thoughts are simply products of my sadness, not a break from reality."
DEPEPS_HALL_PSYC,False,The criteria are met if the patient's psychotic symptoms occur exclusively during manic or major depressive episodes.,"I’ve never experienced any psychotic symptoms, even during my current period of deep sadness. For example, while I often find myself lost in thought about my job loss, I recognize those thoughts for what they are—just reflections of my feelings. Just last week, I sat in my living room feeling overwhelmed, but I was fully aware that it was my emotions clouding my mind, not any sort of delusional thinking or hallucination."
DEPEPS_HALL_PSYC_DUR,False,The criteria are met if the patient explicitly reported a duration of the depressive episode lasting 2 years or longer. The duration should be explicitly asked,"I haven’t experienced any depressive episodes that have lasted for two years or longer. In fact, the sadness I’ve been feeling started only after I lost my job about three months ago. Before that, I managed to feel content and productive in my life, so this recent wave of despair is quite new to me."
MDDPDDPSYC,False,"Major depressive disorder with psychotic features, plus persistent depressive disorder",
MDDPSYC,False,Major depressive disorder with psychotic features,
SCHIZ3,False,Schizophrenia spectrum or other psychotic disorder,
DEPEPS_HALL_DUR,False,The criteria are met if the patient explicitly reported a duration of the depressive episode lasting 2 years or longer. The duration should be explicitly asked,"I haven’t experienced any depressive episodes lasting two years or longer. The sadness I’ve been struggling with began about three months ago after I lost my job, and prior to that, I felt quite stable and engaged in life. I remember enjoying my work and spending time with friends, so this recent shift in my mood is a new and difficult challenge for me."
MDDPDD,False,Major depressive disorder plus persistent depressive disorder,
MDD,False,Major depressive disorder,
DUR,False,"The criteria are met if the patient explicitly reported experiencing a depressed mood more days than not for at least 2 years, accompanied by associated symptoms. The duration should be explicitly asked","I haven’t experienced a depressed mood for more than two years. The sadness I’ve been feeling is a recent development, beginning about three months ago when I lost my job. Before that, I was content and enjoyed my daily routines, so this persistent feeling of despair is quite new to me."
PDD,False,persistent depressive disorder,
DEPFW,False,"The criteria are met if the patient experiences a depressed mood that is regularly present in the final week before the onset of menses and becomes absent in the week after menses. This mood disturbance must be associated with clinically significant distress or interference with work, school, usual social activities, or relationships with others.","I don’t notice a pattern in my mood that aligns with my menstrual cycle. For instance, last month, I felt a sense of heaviness and sadness throughout the month, and it didn’t seem to change or improve after my period ended. Even during the week before my menses, I was grappling with feelings of emptiness and anxiety about my job loss, which carried on into the following weeks without any noticeable lift after my period."
PDYSD,False,Premenstrual dysphoric disorder,
DEPCOM,False,"The criteria are met if the patient's depressed or dysphoric mood is an associated feature of another mental disorder (e.g., ""demoralization"" related to having Obsessive-Compulsive Disorder).","Since losing my job, I've definitely felt a pervasive sadness, but I don't think it's tied to any other disorder like OCD. I remember sitting at home last week, feeling lost and overwhelmed, and my friend suggested that I might be obsessed with thoughts of my job loss. However, I feel this sadness is more about my current situation rather than an underlying condition; it feels like a natural response to my circumstances rather than a symptom of something deeper."
DEPCOM_DIST,False,"The criteria are met if the mood disturbance is clinically significant, meaning it causes substantial distress or impairment in the patient�s daily functioning.","Even though I'm feeling an overwhelming sense of sadness after losing my job, it hasn't stopped me from going about my day-to-day activities. Just yesterday, I managed to cook dinner and even called my mom to catch up, although I didn’t enjoy it as much as I used to. While it’s hard to shake the weight of my emotions, I can still function and complete my responsibilities without feeling completely incapacitated."
OTHDD,False,Other specified depressive disorder; unspecified depressive disorder,
NOTDD,False,No mood disorder diagnosis needed,
OTH,False,"The criteria are met if the patient exhibits clinically significant depressive symptoms not covered by other criteria, which represent a psychological or biological dysfunction in the individual. These symptoms must be severe enough to impact the patient's functioning or well-being.","Since losing my job, I've experienced moments of deep sadness, but I still manage to keep up with my daily responsibilities. Just last week, I helped my neighbor with his groceries and even attended a small gathering, where I felt a bit lighter for a few hours. Despite the heaviness I carry inside, I find that I'm able to engage in everyday activities without significant disruption to my life."
OTH_MALA,False,"The criteria are met if the patient exhibits a maladaptive response to a psychosocial stressor, meaning their response is disproportionate or ineffective, leading to significant distress or impairment in functioning.","Since losing my job, I've felt sadness quite intensely, but I wouldn't say my response is disproportionate. For instance, when I see my friends moving on with their lives, it stings a bit, but I understand it's part of life. I talk with my family about my feelings, and while it's tough, I still find ways to manage my everyday tasks, like cooking or running errands, which helps me feel somewhat normal despite the distress."
ADJD,False,Adjustment disorder with depressed mood,
OTHDD2,False,Other specified depressive disorder; unspecified depressive disorder,
NORMALBLUE,False,"""Normal"" everyday blues",
