Node,Met_Criteria,Description,Patient_Story
MANIC_DUR,False,"criteria met for a manic episode (i.e., **at least 1 week of elevated**, expansive or irritable mood accompanied by increased activity or energy and other characteristic symptoms sufficiently severe to cause marked impairment). Duration has to be explicitly asked.","Over the past week, I’ve mostly been feeling very low since I lost my job, and I haven't experienced any moments of heightened energy or an expansive mood. My days are spent feeling rather flat; I can't even remember the last time I felt excited about anything or had more energy than usual. Instead, I find myself just going through the motions, and I haven’t had any significant changes in my activity levels that would suggest I’m experiencing a manic episode."
MANIC_DUR_HALL,False,The patient meets the criteria if they acknowledge having a history of delusions or hallucinations.,"I haven’t experienced any delusions or hallucinations before. For example, while I did hear my grandmother's voice that one night, I realized it was just a moment of confusion and not something that happened regularly. I've always been aware of my surroundings and have a clear understanding of reality, so that experience didn't make me feel like I was losing touch with what’s real."
MANIC_DUR_HALL_PSYC,False,The criteria are met if the patient's psychotic symptoms occur exclusively during manic or major depressive episodes.,"Even though I've been feeling really low since losing my job, I can confidently say that my psychotic symptoms, like hearing my grandmother's voice, haven't occurred during any manic or major depressive episodes. For instance, the night I heard her voice, I was already in a state of sadness, not experiencing any elevated moods or energy levels. It felt more like a one-off event rather than something linked to my emotional state."
BPIPSYC,False,Bipolar I disorder with psychotic features,
SCHIZ,False,Schizophrenia spectrum or other psychotic disorder,
BPI,False,Bipolar I disorder,
MANIC_DUR_HYPO,False,"Criteria met for a hypomanic episode (i.e., at least 4 days of elevated, expansive, or irritable mood accompanied by increased activity or energy and other characteristic symptoms not severe enough to cause marked impairment) and has at other times met criteria for a Major Depression Episode.  Duration has to be explicitly asked.","Recently, I've been in a pretty dark place, especially since I lost my job. While I don’t have any periods of feeling unusually energetic or happy, I'm just trying to get through the day without breaking down. For the past few weeks, I’ve felt drained, devoid of any excitement or motivation, rather than experiencing any sort of elevated mood that would match hypomanic criteria."
MANIC_DUR_HYPO_HALL,False,The patient meets the criteria if they acknowledge having a history of delusions or hallucinations.,"I haven’t had any experiences that would indicate delusions or hallucinations. While I did hear my grandmother's voice that one night, it didn't feel real to me, and I quickly realized it was just my mind playing tricks during a tough moment. I've always been grounded in reality and don’t have a history of similar experiences."
MANIC_DUR_HYPO_HALL_PSYC,False,The criteria are met if the patient's psychotic symptoms occur exclusively during manic or major depressive episodes.,"Last week, I was sitting alone in my living room, feeling particularly low after my job loss, when I suddenly heard my late grandmother's voice calling me softly. It was a strange moment; I felt compelled to follow her voice, but I was already steeped in sadness and confusion about my situation. I can’t say that this experience linked to any manic or depressive episodes, as I’ve been consistently feeling down without any extreme highs or energy surges."
BPIIPSYC,False,Bipolar II disorder with psychotic features,
SCHIZ2,False,Schizophrenia spectrum or other psychotic disorder,
BPII,False,Bipolar II disorder,
MANIC_DUR_HYPO_DUR,False,The criteria are met if the patient explicitly reported at least 2 years of hypomanic symptoms along with periods of depressed mood. Duration should be explicitly asked.,"I haven't experienced any hypomanic symptoms over the past couple of years; my mood has mostly been stable but low since I lost my job. There hasn't been any significant period where I felt unusually energetic or excited. Instead, I've just felt this ongoing heaviness and sadness, which I've been trying to cope with since my job loss about a month ago; I can't recall a time in the last two years where I felt differently."
CYC,False,Cyclothymic,
OTHBP,False,Other specified bipolar and related disorders or unspecified bipolar and related disorders,
DEPEPS_HALL_PSYC_DUR,False,The criteria are met if the patient explicitly reported a duration of the depressive episode lasting 2 years or longer. The duration should be explicitly asked,"I've been feeling really low since I lost my job about a month ago, but I can't say it's been dragging on for years. In fact, before I lost my job, I was generally content with my life. So while things are tough right now, they haven't lasted nearly long enough for me to meet that two-year mark."
MDDPDDPSYC,False,"Major depressive disorder with psychotic features, plus persistent depressive disorder",
MDDPSYC,False,Major depressive disorder with psychotic features,
DEPEPS_HALL_DUR,False,The criteria are met if the patient explicitly reported a duration of the depressive episode lasting 2 years or longer. The duration should be explicitly asked,"I’ve been feeling really down since losing my job about a month ago, but I can't say that this has been an ongoing issue for years. Before this job loss, I was actually quite happy and had a good routine, so this low mood is something new for me rather than an extended depressive episode."
MDDPDD,False,Major depressive disorder plus persistent depressive disorder,
MDD,False,Major depressive disorder,
DUR,False,"The criteria are met if the patient explicitly reported experiencing a depressed mood more days than not for at least 2 years, accompanied by associated symptoms. The duration should be explicitly asked","I've been feeling really down since losing my job about a month ago, but prior to that, I had been generally happy and content with my life. It feels like this low mood is a reaction to my circumstances rather than a long-standing issue. I can't recall feeling this way for more than a couple of weeks, so I definitely wouldn’t say it's been going on for two years."
PDD,False,persistent depressive disorder,
DEPFW,False,"The criteria are met if the patient experiences a depressed mood that is regularly present in the final week before the onset of menses and becomes absent in the week after menses. This mood disturbance must be associated with clinically significant distress or interference with work, school, usual social activities, or relationships with others.","I don't experience a depressed mood that aligns with my menstrual cycle. I’ve been feeling low since I lost my job a month ago, and it's been pretty consistent without any specific fluctuations tied to my periods. It's more about the stress of my current situation rather than a cyclical pattern in my mood related to menses."
PDYSD,False,Premenstrual dysphoric disorder,
DEPCOM,False,"The criteria are met if the patient's depressed or dysphoric mood is an associated feature of another mental disorder (e.g., ""demoralization"" related to having Obsessive-Compulsive Disorder).","I don't think my low mood is tied to any underlying mental disorder. Ever since I lost my job a month ago, I've just been struggling with feelings of sadness and demoralization, which I believe are directly related to my current circumstances. I've never had issues with obsessive-compulsive disorder or any similar conditions that would complicate my mood; it's more about dealing with the stress and disappointment from my job loss."
DEPCOM_DIST,False,"The criteria are met if the mood disturbance is clinically significant, meaning it causes substantial distress or impairment in the patient�s daily functioning.","Even though I'm feeling really low after losing my job, it hasn't significantly impacted my daily functioning. For instance, I still wake up each morning, get dressed, and manage to go grocery shopping, even if I do it with a heavy heart. I’m generally able to fulfill my responsibilities and maintain a routine, even if I'm not enjoying things as much as I used to."
OTHDD,False,Other specified depressive disorder; unspecified depressive disorder,
NOTDD,False,No mood disorder diagnosis needed,
OTH,False,"The criteria are met if the patient exhibits clinically significant depressive symptoms not covered by other criteria, which represent a psychological or biological dysfunction in the individual. These symptoms must be severe enough to impact the patient's functioning or well-being.","I've been feeling down since losing my job about a month ago, but I wouldn't say it's significant enough to disrupt my daily life. For instance, I still manage to cook for myself, keep my apartment clean, and even go grocery shopping, although I do it with less enthusiasm than before. My focus is a bit off sometimes, but I’m still able to handle my responsibilities without any major issues."
OTH_MALA,False,"The criteria are met if the patient exhibits a maladaptive response to a psychosocial stressor, meaning their response is disproportionate or ineffective, leading to significant distress or impairment in functioning.","Even though I've been feeling quite down since losing my job a month ago, I wouldn't say my response has been maladaptive. I've been trying to stay proactive, like applying for new positions and networking with former colleagues. While it's tough and I do feel heavy-hearted, I still manage to keep up with my responsibilities and maintain a routine, which helps me cope with the stress rather than feeling completely overwhelmed."
ADJD,False,Adjustment disorder with depressed mood,
OTHDD2,False,Other specified depressive disorder; unspecified depressive disorder,
NORMALBLUE,False,"""Normal"" everyday blues",
